Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Displacement,Turbocharger,Supercharger,Fuel Type,MPG,City Fuel Consumption,Highway Fuel Consumption
0,0,1212,15,0,27,4,2.5,0,0,7,17,4233.87,3998.655
0,0,1537,15,0,27,6,4.2,0,0,7,13,3057.795,3057.795
0,4,1332,16,2,27,6,4.2,0,0,7,17,3528.225,4704.3
0,4,1332,16,2,27,6,4.2,0,0,7,17,3528.225,4469.085
0,4,1332,16,2,36,4,2.5,0,0,7,20,4469.085,5174.73
0,4,1332,16,2,36,6,4.2,0,0,7,17,3763.44,4704.3
0,4,1332,16,2,36,6,4.2,0,0,7,17,3528.225,4704.3
0,4,1332,16,2,38,4,2.5,0,0,7,21,4469.085,5409.945
0,4,1332,16,2,38,6,4.2,0,0,7,18,3763.44,5174.73
0,4,1333,16,2,27,4,2.5,0,0,7,18,3998.655,4939.515
0,4,1333,16,2,27,6,4.2,0,0,7,18,3763.44,4704.3
0,4,1333,16,2,27,6,4.2,0,0,7,17,3528.225,4704.3
0,4,1333,16,2,36,4,2.5,0,0,7,20,4469.085,5174.73
0,4,1333,16,2,36,6,4.2,0,0,7,17,3763.44,4704.3
0,4,1333,16,2,36,6,4.2,0,0,7,17,3528.225,4704.3
0,4,1333,16,2,38,4,2.5,0,0,7,21,4469.085,5409.945
0,4,1333,16,2,38,6,4.2,0,0,7,18,3763.44,5174.73
0,16,1358,1,0,28,6,4.1,0,0,7,16,3293.01,4469.085
0,16,1358,1,0,28,8,5.0,0,0,7,16,3293.01,4704.3
0,16,1358,1,0,28,8,5.7,0,0,0,21,4233.87,6115.59
0,19,778,1,6,28,8,4.1,0,0,7,16,3293.01,4469.085
0,19,778,1,6,28,8,5.7,0,0,0,21,4233.87,6115.59
0,19,1581,1,6,28,6,4.3,0,0,0,24,4939.515,7291.665
0,20,782,23,0,27,6,4.1,0,0,7,15,3293.01,3998.655
0,20,782,23,0,27,8,5.0,0,0,7,14,3057.795,3763.44
0,20,782,23,0,28,6,4.1,0,0,7,16,3528.225,4469.085
0,20,782,23,0,28,8,5.0,0,0,7,15,3293.01,4233.87
0,20,782,23,0,28,8,6.2,0,0,0,19,3998.655,5174.73
0,20,782,23,0,28,6,4.1,0,0,7,15,3293.01,3998.655
0,20,782,23,0,28,8,5.0,0,0,7,14,3057.795,3998.655
0,20,782,23,0,35,6,4.1,0,0,7,17,3528.225,4469.085
0,20,782,23,0,35,8,5.0,0,0,7,15,3293.01,3998.655
0,20,782,23,0,35,6,4.1,0,0,7,15,3293.01,3998.655
0,20,782,23,0,36,6,4.1,0,0,7,17,3528.225,4704.3
0,20,782,23,0,36,8,5.0,0,0,7,16,3528.225,3998.655
0,20,782,23,0,36,8,6.2,0,0,0,20,4233.87,5174.73
0,20,782,23,0,36,8,6.2,0,0,0,19,4233.87,4704.3
0,20,782,23,0,36,6,4.1,0,0,7,15,3293.01,4233.87
0,20,782,23,0,36,6,4.1,0,0,7,17,3528.225,4469.085
0,20,782,23,0,36,8,5.0,0,0,7,15,3293.01,3998.655
0,20,786,23,0,28,6,4.1,0,0,7,14,3057.795,3998.655
0,20,786,23,0,28,8,5.0,0,0,7,14,3057.795,3998.655
0,20,786,23,0,28,8,6.2,0,0,0,19,3998.655,5174.73
0,20,786,23,0,28,8,5.7,0,0,7,13,2587.365,3528.225
0,20,786,23,0,36,6,4.1,0,0,7,14,3057.795,3528.225
0,20,786,23,0,36,8,5.0,0,0,7,13,2822.58,3528.225
0,20,786,23,0,36,8,6.2,0,0,0,20,4233.87,5174.73
0,20,786,23,0,36,8,6.2,0,0,0,18,3998.655,4469.085
0,20,786,23,0,36,8,6.2,0,0,0,19,4233.87,5174.73
0,20,1346,23,0,27,6,3.8,0,0,7,17,3528.225,4469.085
0,20,1346,23,0,27,8,5.0,0,0,7,15,3293.01,4233.87
0,20,1346,23,0,27,8,5.7,0,0,0,20,4233.87,5645.16
0,20,1346,23,0,27,8,5.0,0,0,7,15,3293.01,3998.655
0,20,1346,23,0,28,6,3.8,0,0,7,18,3528.225,5174.73
0,20,1346,23,0,28,8,5.0,0,0,7,17,3528.225,4704.3
0,20,1346,23,0,28,8,5.7,0,0,0,21,4233.87,6115.59
0,20,1633,33,0,27,6,4.1,0,0,7,14,3057.795,3763.44
0,20,1633,33,0,27,8,5.0,0,0,7,13,2587.365,3528.225
0,20,1633,33,0,28,6,4.1,0,0,7,14,3057.795,3998.655
0,20,1633,33,0,28,8,5.0,0,0,7,13,2822.58,3528.225
0,20,1633,33,0,28,8,5.7,0,0,7,13,2587.365,3528.225
0,20,1633,33,0,28,8,6.2,0,0,0,18,3763.44,5174.73
0,20,1633,33,0,28,8,6.2,0,0,0,17,3528.225,4469.085
0,20,1633,33,0,35,6,4.1,0,0,7,14,3057.795,3528.225
0,20,1633,33,0,36,8,6.2,0,0,0,18,3998.655,4704.3
0,20,1633,33,0,36,8,6.2,0,0,0,19,4233.87,4704.3
0,20,1634,32,0,27,6,4.1,0,0,7,15,3293.01,3998.655
0,20,1634,32,0,27,8,5.0,0,0,7,14,3057.795,3763.44
0,20,1634,32,0,28,6,4.1,0,0,7,15,3293.01,4233.87
0,20,1634,32,0,28,8,5.0,0,0,7,15,3057.795,4233.87
0,20,1634,32,0,28,8,6.2,0,0,0,19,3998.655,5174.73
0,20,1634,32,0,28,6,4.1,0,0,7,15,3293.01,3998.655
0,20,1634,32,0,28,8,5.0,0,0,7,14,3057.795,3998.655
0,20,1634,32,0,35,6,4.1,0,0,7,16,3528.225,3998.655
0,20,1634,32,0,35,8,5.0,0,0,7,15,3293.01,3998.655
0,20,1634,32,0,35,6,4.1,0,0,7,15,3293.01,3763.44
0,20,1634,32,0,36,6,4.1,0,0,7,16,3528.225,4469.085
0,20,1634,32,0,36,8,5.0,0,0,7,16,3528.225,3998.655
0,20,1634,32,0,36,8,6.2,0,0,0,20,4233.87,5174.73
0,20,1634,32,0,36,6,4.1,0,0,7,15,3293.01,3998.655
0,20,1634,32,0,36,8,6.2,0,0,0,19,4233.87,5174.73
0,20,1645,33,0,28,8,5.7,0,0,7,11,2352.15,2822.58
0,20,1646,32,0,28,6,4.1,0,0,7,14,3057.795,3998.655
0,20,1646,32,0,35,6,4.1,0,0,7,14,3057.795,3528.225
0,20,1927,24,2,28,6,4.1,0,0,7,15,3293.01,3998.655
0,20,1927,24,2,28,8,5.0,0,0,7,14,3057.795,3763.44
0,20,1927,24,2,28,8,6.2,0,0,0,18,3763.44,4704.3
0,20,1927,24,2,28,8,5.7,0,0,7,13,2587.365,3528.225
0,20,1927,24,2,28,8,6.2,0,0,0,17,3528.225,4704.3
0,20,1927,24,2,36,6,4.1,0,0,7,14,3057.795,3998.655
0,20,1927,24,2,36,6,4.1,0,0,7,14,3057.795,3763.44
0,20,1927,24,2,36,8,5.0,0,0,7,13,2587.365,3528.225
0,20,1927,24,2,36,8,5.0,0,0,7,14,2822.58,3763.44
0,20,1927,24,2,36,8,6.2,0,0,0,18,3998.655,4704.3
0,20,1927,24,2,36,8,6.2,0,0,0,17,3998.655,4233.87
0,20,1932,24,2,28,8,5.7,0,0,7,12,2587.365,3528.225
0,20,1932,24,2,28,8,6.2,0,0,0,18,3763.44,4704.3
0,20,1932,24,2,36,8,5.7,0,0,7,12,2587.365,3057.795
0,20,1932,24,2,36,8,6.2,0,0,0,18,3998.655,4704.3
0,20,1932,24,2,36,8,6.2,0,0,0,17,3763.44,4233.87
0,20,1936,16,2,28,8,5.0,0,0,7,14,2822.58,3763.44
0,20,1936,16,2,28,8,6.2,0,0,0,18,3763.44,4704.3
0,20,1936,16,2,28,8,5.7,0,0,7,12,2587.365,3528.225
0,20,1936,16,2,28,8,6.2,0,0,0,16,3528.225,4469.085
0,20,1936,16,2,36,8,5.0,0,0,7,14,2822.58,3763.44
0,20,2621,15,0,27,4,2.0,0,0,7,21,4469.085,5645.16
0,20,2621,15,0,28,6,2.8,0,0,7,18,3763.44,5174.73
0,20,2621,15,0,28,6,2.8,0,0,7,19,3998.655,5645.16
0,20,2621,15,0,36,4,2.0,0,0,7,21,4469.085,5880.375
0,20,2621,15,0,36,6,2.8,0,0,7,18,3763.44,5174.73
0,20,2621,15,0,36,4,2.0,0,0,7,22,4704.3,6115.59
0,20,2621,15,0,38,4,2.0,0,0,7,22,4704.3,6115.59
0,20,2621,15,0,38,6,2.8,0,0,7,18,3763.44,5174.73
0,20,2621,15,0,38,4,2.0,0,0,7,23,4704.3,6350.805
0,20,2623,17,0,28,6,2.8,0,0,7,13,3057.795,3057.795
0,20,2623,17,0,28,6,2.8,0,0,7,14,3057.795,3528.225
0,20,2623,17,0,36,4,2.0,0,0,7,15,3528.225,3763.44
0,20,2623,17,0,36,6,2.8,0,0,7,13,3057.795,3293.01
0,20,2624,9,0,27,4,2.0,0,0,7,20,4233.87,5645.16
0,20,2624,9,0,28,4,2.0,0,0,7,20,4233.87,5645.16
0,20,2624,9,0,28,6,2.8,0,0,7,18,3763.44,5174.73
0,20,2624,9,0,28,6,2.8,0,0,7,19,3998.655,5645.16
0,20,2624,9,0,36,4,2.0,0,0,7,24,4939.515,6821.235
0,20,2624,9,0,36,4,2.0,0,0,7,21,4469.085,5880.375
0,20,2624,9,0,36,4,2.2,0,0,0,28,6115.59,7291.665
0,20,2624,9,0,36,6,2.8,0,0,7,18,3763.44,4939.515
0,20,2624,9,0,36,4,2.0,0,0,7,23,4939.515,6115.59
0,20,2624,9,0,36,6,2.8,0,0,7,18,3763.44,5174.73
0,20,2624,9,0,38,4,2.0,0,0,7,26,5409.945,7291.665
0,20,2624,9,0,38,4,2.0,0,0,7,22,4704.3,6115.59
0,20,2624,9,0,38,4,2.2,0,0,0,29,6115.59,7526.88
0,20,2624,9,0,38,6,2.8,0,0,7,18,3763.44,5174.73
0,20,2624,9,0,38,4,2.0,0,0,7,23,4704.3,6350.805
0,20,2624,9,0,38,4,2.2,0,0,0,28,6115.59,7291.665
0,20,2624,9,0,38,6,2.8,0,0,7,19,3763.44,5409.945
0,20,2627,15,0,28,6,2.8,0,0,7,18,3763.44,5174.73
0,20,2627,15,0,36,6,2.8,0,0,7,18,3763.44,5174.73
0,20,3029,15,0,28,8,5.0,0,0,7,13,2822.58,3528.225
0,20,3029,15,0,28,8,5.7,0,0,7,13,2587.365,3528.225
0,20,3029,15,0,28,8,6.2,0,0,0,18,3763.44,5174.73
0,20,3029,15,0,28,8,6.2,0,0,0,17,3528.225,4469.085
0,20,3031,16,2,28,8,5.7,0,0,7,12,2587.365,3293.01
0,20,3031,16,2,28,8,6.2,0,0,0,16,3528.225,4704.3
0,20,3031,16,2,36,8,5.7,0,0,7,11,2352.15,2822.58
0,20,3050,16,2,28,6,2.8,0,0,7,18,3528.225,5174.73
0,20,3050,16,2,36,4,2.0,0,0,7,20,4233.87,5645.16
0,20,3050,16,2,36,6,2.8,0,0,7,17,3528.225,4704.3
0,20,3050,16,2,36,4,2.0,0,0,7,20,4233.87,5409.945
0,20,3050,16,2,38,4,2.0,0,0,7,20,4233.87,5409.945
0,20,3050,16,2,38,6,2.8,0,0,7,17,3528.225,5174.73
0,20,3050,16,2,38,4,2.0,0,0,7,20,3998.655,5645.16
0,20,3051,24,2,28,6,2.8,0,0,7,18,3763.44,5174.73
0,20,3051,24,2,36,4,2.0,0,0,7,20,4233.87,5409.945
0,20,3051,24,2,36,6,2.8,0,0,7,17,3528.225,4704.3
0,20,3051,24,2,36,6,2.8,0,0,7,17,3528.225,4939.515
0,20,3051,24,2,38,4,2.0,0,0,7,20,4233.87,5645.16
0,20,3051,24,2,38,6,2.8,0,0,7,18,3528.225,5174.73
0,27,536,15,0,27,8,5.2,0,0,7,12,2587.365,3293.01
0,27,536,15,0,27,8,5.2,0,0,7,11,2587.365,2587.365
0,27,536,15,0,27,8,5.9,0,0,7,11,2352.15,2822.58
0,27,578,16,2,27,8,5.2,0,0,7,11,2587.365,2822.58
0,27,578,16,2,27,8,5.9,0,0,7,10,2116.935,2587.365
0,27,578,16,2,36,8,5.2,0,0,7,11,2352.15,2822.58
0,27,694,32,0,27,6,3.7,0,0,7,15,3293.01,3998.655
0,27,694,32,0,27,8,5.2,0,0,7,12,2587.365,3293.01
0,27,694,32,0,27,8,5.2,0,0,7,11,2587.365,2822.58
0,27,694,32,0,27,8,5.9,0,0,7,11,2352.15,2822.58
0,27,694,32,0,27,6,3.7,0,0,7,13,2822.58,3057.795
0,27,694,32,0,27,8,5.2,0,0,7,12,2587.365,3057.795
0,27,694,32,0,36,6,3.7,0,0,7,17,3528.225,4469.085
0,27,694,32,0,36,8,5.2,0,0,7,13,2587.365,3763.44
0,27,694,32,0,36,6,3.7,0,0,7,13,2587.365,3763.44
0,27,694,32,0,36,8,5.2,0,0,7,14,2822.58,3763.44
0,27,695,33,0,27,6,3.7,0,0,7,14,3057.795,3763.44
0,27,695,33,0,27,8,5.2,0,0,7,12,2587.365,3293.01
0,27,695,33,0,27,8,5.9,0,0,7,10,2116.935,2587.365
0,27,695,33,0,27,6,3.7,0,0,7,13,2822.58,3057.795
0,27,695,33,0,27,8,5.2,0,0,7,12,2587.365,3057.795
0,27,695,33,0,36,6,3.7,0,0,7,16,3528.225,4233.87
0,27,695,33,0,36,8,5.2,0,0,7,12,2587.365,3528.225
0,27,695,33,0,36,6,3.7,0,0,7,13,2587.365,3763.44
0,27,695,33,0,36,8,5.2,0,0,7,13,2587.365,3528.225
0,27,723,32,0,27,8,5.2,0,0,7,12,2587.365,3293.01
0,27,723,32,0,27,8,5.2,0,0,7,11,2587.365,2587.365
0,27,723,32,0,27,8,5.9,0,0,7,11,2352.15,2822.58
0,27,724,33,0,27,8,5.2,0,0,7,12,2587.365,3057.795
0,27,724,33,0,27,8,5.9,0,0,7,9,1881.72,2352.15
0,27,724,33,0,27,8,5.2,0,0,7,10,2352.15,2587.365
0,27,955,15,0,27,4,2.2,0,0,7,19,4233.87,5174.73
0,27,955,15,0,27,4,2.6,0,0,7,18,3998.655,4704.3
0,27,955,15,0,27,4,2.2,0,0,7,20,4233.87,5174.73
0,27,955,15,0,36,4,2.2,0,0,7,22,4704.3,6115.59
