Year,Make,Class,Drive,Transmission,Engine Cylinders,Turbocharger,Supercharger,Fuel Type,City Fuel Consumption,Highway Fuel Consumption
0,0,15,0,27,4,0,0,7,13.0675,13.83617647
0,0,15,0,27,6,0,0,7,18.09346154,18.09346154
0,4,16,2,27,6,0,0,7,15.681,11.76075
0,4,16,2,27,6,0,0,7,15.681,12.37973684
0,4,16,2,36,4,0,0,7,12.37973684,10.69159091
0,4,16,2,36,6,0,0,7,14.7009375,11.76075
0,4,16,2,36,6,0,0,7,15.681,11.76075
0,4,16,2,38,4,0,0,7,12.37973684,10.22673913
0,4,16,2,38,6,0,0,7,14.7009375,10.69159091
0,4,16,2,27,4,0,0,7,13.83617647,11.20071429
0,4,16,2,27,6,0,0,7,14.7009375,11.76075
0,4,16,2,27,6,0,0,7,15.681,11.76075
0,4,16,2,36,4,0,0,7,12.37973684,10.69159091
0,4,16,2,36,6,0,0,7,14.7009375,11.76075
0,4,16,2,36,6,0,0,7,15.681,11.76075
0,4,16,2,38,4,0,0,7,12.37973684,10.22673913
0,4,16,2,38,6,0,0,7,14.7009375,10.69159091
0,16,1,0,28,6,0,0,7,16.80107143,12.37973684
0,16,1,0,28,8,0,0,7,16.80107143,11.76075
0,16,1,0,28,8,0,0,0,13.0675,9.046730769
0,19,1,6,28,8,0,0,7,16.80107143,12.37973684
0,19,1,6,28,8,0,0,0,13.0675,9.046730769
0,19,1,6,28,6,0,0,0,11.20071429,7.587580645
0,20,23,0,27,6,0,0,7,16.80107143,13.83617647
0,20,23,0,27,8,0,0,7,18.09346154,14.7009375
0,20,23,0,28,6,0,0,7,15.681,12.37973684
0,20,23,0,28,8,0,0,7,16.80107143,13.0675
0,20,23,0,28,8,0,0,0,13.83617647,10.69159091
0,20,23,0,28,6,0,0,7,16.80107143,13.83617647
0,20,23,0,28,8,0,0,7,18.09346154,13.83617647
0,20,23,0,35,6,0,0,7,15.681,12.37973684
0,20,23,0,35,8,0,0,7,16.80107143,13.83617647
0,20,23,0,35,6,0,0,7,16.80107143,13.83617647
0,20,23,0,36,6,0,0,7,15.681,11.76075
0,20,23,0,36,8,0,0,7,15.681,13.83617647
0,20,23,0,36,8,0,0,0,13.0675,10.69159091
0,20,23,0,36,8,0,0,0,13.0675,11.76075
0,20,23,0,36,6,0,0,7,16.80107143,13.0675
0,20,23,0,36,6,0,0,7,15.681,12.37973684
0,20,23,0,36,8,0,0,7,16.80107143,13.83617647
0,20,23,0,28,6,0,0,7,18.09346154,13.83617647
0,20,23,0,28,8,0,0,7,18.09346154,13.83617647
0,20,23,0,28,8,0,0,0,13.83617647,10.69159091
0,20,23,0,28,8,0,0,7,21.38318182,15.681
0,20,23,0,36,6,0,0,7,18.09346154,15.681
0,20,23,0,36,8,0,0,7,19.60125,15.681
0,20,23,0,36,8,0,0,0,13.0675,10.69159091
0,20,23,0,36,8,0,0,0,13.83617647,12.37973684
0,20,23,0,36,8,0,0,0,13.0675,10.69159091
0,20,23,0,27,6,0,0,7,15.681,12.37973684
0,20,23,0,27,8,0,0,7,16.80107143,13.0675
0,20,23,0,27,8,0,0,0,13.0675,9.800625
0,20,23,0,27,8,0,0,7,16.80107143,13.83617647
0,20,23,0,28,6,0,0,7,15.681,10.69159091
0,20,23,0,28,8,0,0,7,15.681,11.76075
0,20,23,0,28,8,0,0,0,13.0675,9.046730769
0,20,33,0,27,6,0,0,7,18.09346154,14.7009375
0,20,33,0,27,8,0,0,7,21.38318182,15.681
0,20,33,0,28,6,0,0,7,18.09346154,13.83617647
